Coluna1	Coluna2	Coluna3	Coluna4	 Coluna5 	Coluna6	Coluna7	Coluna8	Coluna9	Coluna10	Coluna11
Florisbela		SQL Básico		980	11	40755	Pessoa Física	Lívia	Personalizado	São Paulo
Leonardo		SQL Avançado		1020	12	40394	Pessoa Física	Rossana	Manhã	São Paulo
Carlitos		Css Básico		1340	10	40904	Pessoa Jurídica	Euletério	Tarde	São Paulo
Flaviana		Css Avançado		1870	12	40091	Pessoa Jurídica	Fábio	Noite	São Paulo
Santoro		MySQL		1910	9	42020	Pessoa Jurídica	Joaquim	Integral	São Paulo
Leudissandro		HTML 58		2240	12	41120	Pessoa Física	Lívia	Madrugada	São Paulo
Paola		Excel Básico		2479	11	41056	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Andrázio		Excel Intermediário		3200	9	40033	Pessoa Física	Euletério	Terça-feira	São Paulo
Luciana		Excel Avançado		3921	8	40111	Pessoa Física	Fábio	Personalizado	Bahia
Florisbela		Excel BI		780	10	40003	Pessoa Física	Joaquim	Manhã	Bahia
Leonardo		Excel VBA Básico		980	11	41394	Pessoa Jurídica	Lívia	Tarde	Brasília
Carlitos		Excel VBA avançado		1020	9	41210	Pessoa Jurídica	Rossana	Noite	Ceará
Flaviana		Access + VBA		1340	12	41622	Pessoa Jurídica	Euletério	Integral	Minas Gerais
Santoro		JavaScript Básico		1870	8	40233	Pessoa Física	Fábio	Madrugada	Minas Gerais
Leudissandro		JavaScript Avançado		1910	8	40471	Pessoa Jurídica	Joaquim	Quarta-feira	Minas Gerais
Paola		SQL Básico		2240	10	42219	Pessoa Física	Lívia	Quinta-feira	Minas Gerais
Andrázio		SQL Avançado		2479	9	42276	Pessoa Física	Rossana	Personalizado	Paraíba
Luciana		Css Básico		3200	10	41580	Pessoa Física	Euletério	Manhã	Paraná
Florisbela		Css Avançado		3921	11	40989	Pessoa Jurídica	Fábio	Tarde	Pernambuco
Leonardo		MySQL		780	9	42478	Pessoa Jurídica	Joaquim	Noite	Pernambuco
Carlitos		HTML 59		980	9	41354	Pessoa Jurídica	Lívia	Integral	Pernambuco
Flaviana		Excel Básico		1020	8	41346	Pessoa Física	Fábio	Madrugada	Rio de Janeiro
Santoro		Excel Intermediário		1340	9	40849	Pessoa Jurídica	Joaquim	Sexta-feira	Rio de Janeiro
Leudissandro		Excel Avançado		1870	9	40580	Pessoa Física	Lívia	Sábado	Rio de Janeiro
Paola		Excel BI		1910	10	41425	Pessoa Física	Rossana	Personalizado	Rio Grande do Sul
Andrázio		Excel VBA Básico		2240	12	40470	Pessoa Física	Euletério	Manhã	Rio Grande do Sul
Luciana		Excel VBA avançado		2479	11	41589	Pessoa Jurídica	Fábio	Tarde	São Paulo
Florisbela		Access + VBA		3200	11	41087	Pessoa Jurídica	Joaquim	Noite	São Paulo
Leonardo		JavaScript Básico		3921	10	41363	Pessoa Jurídica	Lívia	Integral	São Paulo
Carlitos		JavaScript Avançado		780	8	41561	Pessoa Física	Rossana	Madrugada	São Paulo
Flaviana		SQL Básico		980	11	41226	Pessoa Jurídica	Euletério	Domingo	Sergipe
Santoro		SQL Avançado		1020	12	41263	Pessoa Física	Fábio	Segunda-feira	São Paulo
Leudissandro		Css Básico		1340	11	40853	Pessoa Física	Joaquim	Personalizado	São Paulo
Paola		Css Avançado		1870	10	40602	Pessoa Física	Lívia	Manhã	São Paulo
Andrázio		MySQL		1910	12	41940	Pessoa Jurídica	Rossana	Tarde	São Paulo
Luciana		HTML 60		2240	12	41619	Pessoa Jurídica	Euletério	Noite	São Paulo
Florisbela		Excel Básico		2479	9	42035	Pessoa Jurídica	Fábio	Integral	São Paulo
Leonardo		Excel Intermediário		3200	11	41503	Pessoa Física	Joaquim	Madrugada	Bahia
Carlitos		Excel Avançado		3921	8	41341	Pessoa Jurídica	Lívia	Terça-feira	Bahia
Flaviana		Excel BI		780	11	40099	Pessoa Física	Rossana	Quarta-feira	Bahia
Santoro		Excel VBA Básico		980	9	42404	Pessoa Física	Euletério	Personalizado	Brasília
Leudissandro		Excel VBA avançado		1020	10	41579	Pessoa Física	Fábio	Manhã	Minas Gerais
Paola		Access + VBA		1340	10	40661	Pessoa Jurídica	Joaquim	Tarde	Minas Gerais
Andrázio		JavaScript Básico		1870	9	41869	Pessoa Jurídica	Lívia	Noite	Minas Gerais
Luciana		JavaScript Avançado		1910	10	40756	Pessoa Jurídica	Rossana	Integral	Minas Gerais
Florisbela		SQL Básico		2240	10	40053	Pessoa Física	Euletério	Madrugada	Minas Gerais
Leonardo		SQL Avançado		2479	12	41975	Pessoa Jurídica	Fábio	Quinta-feira	Paraná
Carlitos		Css Básico		3200	9	40774	Pessoa Física	Joaquim	Sexta-feira	Paraná
Flaviana		Css Avançado		3921	12	41294	Pessoa Física	Lívia	Personalizado	Paraná
Santoro		MySQL		780	8	42185	Pessoa Física	Fábio	Manhã	Rio de Janeiro
Leudissandro		HTML 61		980	12	41512	Pessoa Jurídica	Joaquim	Tarde	Rio Grande do Sul
Paola		Excel Básico		1020	12	40506	Pessoa Jurídica	Lívia	Noite	Rio Grande do Sul
Andrázio		Excel Intermediário		1340	9	41377	Pessoa Jurídica	Rossana	Integral	Rio Grande do Sul
Luciana		Excel Avançado		1870	12	41059	Pessoa Física	Euletério	Madrugada	Santa Catarina
Florisbela		Excel BI		1910	8	40994	Pessoa Jurídica	Fábio	Sábado	Santa Catarina
Leonardo		Excel VBA Básico		2240	11	40899	Pessoa Física	Joaquim	Domingo	São Paulo
Carlitos		Excel VBA avançado		2479	10	40359	Pessoa Física	Lívia	Personalizado	São Paulo
Flaviana		Access + VBA		3200	11	40753	Pessoa Física	Rossana	Manhã	São Paulo
Santoro		JavaScript Básico		3921	12	42140	Pessoa Jurídica	Euletério	Tarde	São Paulo
Leudissandro		JavaScript Avançado		780	8	41028	Pessoa Jurídica	Fábio	Noite	São Paulo
Paola		SQL Básico		980	11	41173	Pessoa Jurídica	Joaquim	Integral	São Paulo
Andrázio		SQL Avançado		1020	10	42339	Pessoa Física	Lívia	Madrugada	São Paulo
Luciana		Css Básico		1340	8	40536	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Florisbela		Css Avançado		1870	10	41093	Pessoa Física	Euletério	Terça-feira	São Paulo
Leonardo		MySQL		1910	8	40321	Pessoa Física	Fábio	Personalizado	São Paulo
Carlitos		HTML 62		2240	10	42102	Pessoa Física	Joaquim	Manhã	São Paulo
Flaviana		Excel Básico		2479	12	41665	Pessoa Jurídica	Lívia	Tarde	São Paulo
Santoro		Excel Intermediário		3200	9	41205	Pessoa Jurídica	Rossana	Noite	São Paulo
Leudissandro		Excel Avançado		3921	10	42062	Pessoa Jurídica	Euletério	Integral	São Paulo
Paola		Excel BI		780	9	40439	Pessoa Física	Fábio	Madrugada	São Paulo
Andrázio		Excel VBA Básico		980	9	40804	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Luciana		Excel VBA avançado		1020	9	41726	Pessoa Física	Lívia	Quinta-feira	São Paulo
Florisbela		Access + VBA		1340	11	41391	Pessoa Física	Rossana	Personalizado	São Paulo
Leonardo		JavaScript Básico		1870	11	42410	Pessoa Física	Euletério	Manhã	São Paulo
Carlitos		JavaScript Avançado		1910	10	41349	Pessoa Jurídica	Fábio	Tarde	São Paulo
Flaviana		SQL Básico		2240	11	40025	Pessoa Jurídica	Joaquim	Noite	São Paulo
Santoro		SQL Avançado		2479	10	40113	Pessoa Jurídica	Lívia	Integral	São Paulo
Leudissandro		Css Básico		3200	11	40653	Pessoa Física	Fábio	Madrugada	São Paulo
Paola		Css Avançado		3921	10	41161	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Andrázio		MySQL		780	11	40080	Pessoa Física	Lívia	Sábado	São Paulo
Luciana		HTML 63		980	10	42309	Pessoa Física	Rossana	Personalizado	São Paulo
Florisbela		Excel Básico		1020	10	41858	Pessoa Física	Euletério	Manhã	São Paulo
Leonardo		Excel Intermediário		1340	10	41812	Pessoa Jurídica	Fábio	Tarde	São Paulo
Carlitos		Excel Avançado		1870	11	41137	Pessoa Jurídica	Joaquim	Noite	São Paulo
Flaviana		Excel BI		1910	9	40208	Pessoa Jurídica	Lívia	Integral	Alagoas
Santoro		Excel VBA Básico		2240	9	40931	Pessoa Física	Rossana	Madrugada	Alagoas
Leudissandro		Excel VBA avançado		2479	11	42002	Pessoa Jurídica	Euletério	Domingo	Alagoas
Paola		Access + VBA		3200	9	40173	Pessoa Física	Fábio	Segunda-feira	Bahia
Andrázio		JavaScript Básico		3921	8	41269	Pessoa Física	Joaquim	Personalizado	Bahia
Luciana		JavaScript Avançado		780	10	41497	Pessoa Física	Lívia	Manhã	Bahia
Florisbela		SQL Básico		980	9	40493	Pessoa Jurídica	Rossana	Tarde	Bahia
Leonardo		SQL Avançado		1020	9	40252	Pessoa Jurídica	Euletério	Noite	Bahia
Carlitos		Css Básico		1340	11	41137	Pessoa Jurídica	Fábio	Integral	Bahia
Flaviana		Css Avançado		1870	9	41227	Pessoa Física	Joaquim	Madrugada	Bahia
Santoro		MySQL		1910	8	40254	Pessoa Jurídica	Lívia	Terça-feira	Bahia
Leudissandro		HTML 64		2240	12	41174	Pessoa Física	Rossana	Quarta-feira	Bahia
Paola		Excel Básico		2479	12	40756	Pessoa Física	Euletério	Personalizado	Bahia
Andrázio		Excel Intermediário		3200	11	40757	Pessoa Física	Fábio	Manhã	Bahia
Luciana		Excel Avançado		3921	11	40264	Pessoa Jurídica	Joaquim	Tarde	Bahia
Florisbela		Excel BI		780	9	40594	Pessoa Jurídica	Lívia	Noite	Brasília
Leonardo		Excel VBA Básico		980	12	41000	Pessoa Jurídica	Rossana	Integral	Brasília
Carlitos		Excel VBA avançado		1020	9	41613	Pessoa Física	Euletério	Madrugada	Brasília
Flaviana		Access + VBA		1340	12	42079	Pessoa Jurídica	Fábio	Quinta-feira	Ceará
Santoro		JavaScript Básico		1870	8	40712	Pessoa Física	Joaquim	Sexta-feira	Ceará
Leudissandro		JavaScript Avançado		1910	11	41954	Pessoa Física	Lívia	Personalizado	Ceará
Paola		SQL Básico		2240	11	40116	Pessoa Física	Fábio	Manhã	Ceará
Andrázio		SQL Avançado		2479	10	40389	Pessoa Jurídica	Joaquim	Tarde	Ceará
Luciana		Css Básico		3200	11	41854	Pessoa Jurídica	Lívia	Noite	Ceará
Florisbela		Css Avançado		3921	10	41780	Pessoa Jurídica	Rossana	Integral	Ceará
Leonardo		MySQL		780	11	40856	Pessoa Física	Euletério	Madrugada	Ceará
Carlitos		HTML 65		980	9	41068	Pessoa Jurídica	Fábio	Sábado	Ceará
Flaviana		Excel Básico		1020	10	41124	Pessoa Física	Joaquim	Domingo	Ceará
Santoro		Excel Intermediário		1340	9	41858	Pessoa Física	Lívia	Personalizado	Ceará
Leudissandro		Excel Avançado		1870	12	41540	Pessoa Física	Rossana	Manhã	Espírito Santo
Paola		Excel BI		1910	11	41587	Pessoa Jurídica	Euletério	Tarde	Espírito Santo
Andrázio		Excel VBA Básico		2240	11	42045	Pessoa Jurídica	Fábio	Noite	Goiás
Luciana		Excel VBA avançado		2479	8	42122	Pessoa Jurídica	Joaquim	Integral	Goiás
Florisbela		Access + VBA		3200	10	41887	Pessoa Física	Lívia	Madrugada	Goiás
Leonardo		JavaScript Básico		3921	8	40960	Pessoa Jurídica	Rossana	Segunda-feira	Goiás
Carlitos		JavaScript Avançado		780	9	42101	Pessoa Física	Euletério	Terça-feira	Goiás
Flaviana		SQL Básico		980	8	42270	Pessoa Física	Fábio	Personalizado	Mato Grosso
Santoro		SQL Avançado		1020	11	41327	Pessoa Física	Joaquim	Manhã	Mato Grosso
Leudissandro		Css Básico		1340	9	40991	Pessoa Jurídica	Lívia	Tarde	Mato Grosso
Paola		Css Avançado		1870	12	40725	Pessoa Jurídica	Rossana	Noite	Mato Grosso
Andrázio		MySQL		1910	12	41467	Pessoa Jurídica	Euletério	Integral	Mato Grosso
Luciana		HTML 66		2240	12	40429	Pessoa Física	Fábio	Madrugada	Mato Grosso
Florisbela		Excel Básico		2479	9	42043	Pessoa Jurídica	Joaquim	Quarta-feira	Mato Grosso
Leonardo		Excel Intermediário		3200	8	42261	Pessoa Física	Lívia	Quinta-feira	Mato Grosso
Carlitos		Excel Avançado		3921	12	40678	Pessoa Física	Rossana	Personalizado	Mato Grosso do Sul
Flaviana		Excel BI		780	10	40305	Pessoa Física	Euletério	Manhã	Mato Grosso do Sul
Santoro		Excel VBA Básico		980	9	41743	Pessoa Jurídica	Fábio	Tarde	Mato Grosso do Sul
Leudissandro		Excel VBA avançado		1020	9	41754	Pessoa Jurídica	Joaquim	Noite	Mato Grosso do Sul
Paola		Access + VBA		1340	10	41190	Pessoa Jurídica	Lívia	Integral	Minas Gerais
Andrázio		JavaScript Básico		1870	12	41213	Pessoa Física	Fábio	Madrugada	Paraíba
Luciana		JavaScript Avançado		1910	12	42342	Pessoa Jurídica	Joaquim	Sexta-feira	Paraíba
Florisbela		SQL Básico		2240	8	40597	Pessoa Física	Lívia	Sábado	Paraíba
Leonardo		SQL Avançado		2479	11	41108	Pessoa Física	Rossana	Personalizado	Paraíba
Carlitos		Css Básico		3200	10	40383	Pessoa Física	Euletério	Manhã	Paraná
Flaviana		Css Avançado		3921	9	42077	Pessoa Jurídica	Fábio	Tarde	Paraná
Santoro		MySQL		780	8	40216	Pessoa Jurídica	Joaquim	Noite	Pernambuco
Leudissandro		HTML 67		980	11	40500	Pessoa Jurídica	Lívia	Integral	Pernambuco
Paola		Excel Básico		1020	8	40456	Pessoa Física	Rossana	Madrugada	Pernambuco
Andrázio		Excel Intermediário		1340	12	40146	Pessoa Jurídica	Euletério	Domingo	Pernambuco
Luciana		Excel Avançado		1870	12	40605	Pessoa Física	Fábio	Segunda-feira	Pernambuco
Florisbela		Excel BI		1910	10	40129	Pessoa Física	Joaquim	Personalizado	Rio de Janeiro
Leonardo		Excel VBA Básico		2240	12	41187	Pessoa Física	Lívia	Manhã	Rio de Janeiro
Carlitos		Excel VBA avançado		2479	10	40124	Pessoa Jurídica	Rossana	Tarde	Rio de Janeiro
Flaviana		Access + VBA		3200	10	41655	Pessoa Jurídica	Euletério	Noite	Rio de Janeiro
Santoro		JavaScript Básico		3921	8	40806	Pessoa Jurídica	Fábio	Integral	Rio de Janeiro
Leudissandro		JavaScript Avançado		780	9	41691	Pessoa Física	Joaquim	Madrugada	Rio Grande do Norte
Paola		SQL Básico		980	11	40161	Pessoa Jurídica	Lívia	Terça-feira	Rio Grande do Norte
Andrázio		SQL Avançado		1020	10	41193	Pessoa Física	Rossana	Quarta-feira	Rio Grande do Norte
Luciana		Css Básico		1340	8	40739	Pessoa Física	Euletério	Personalizado	Rio Grande do Sul
Florisbela		Css Avançado		1870	12	41000	Pessoa Física	Fábio	Manhã	Rondônia
Leonardo		MySQL		1910	10	40007	Pessoa Jurídica	Joaquim	Tarde	Santa Catarina
Carlitos		HTML 68		2240	10	41508	Pessoa Jurídica	Lívia	Noite	São Paulo
Flaviana		Excel Básico		2479	9	41109	Pessoa Jurídica	Rossana	Integral	São Paulo
Santoro		Excel Intermediário		3200	10	40872	Pessoa Física	Euletério	Madrugada	São Paulo
Leudissandro		Excel Avançado		3921	10	41892	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Paola		Excel BI		780	12	40361	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Andrázio		Excel VBA Básico		980	11	41205	Pessoa Física	Lívia	Personalizado	São Paulo
Luciana		Excel VBA avançado		1020	8	42006	Pessoa Física	Fábio	Manhã	São Paulo
Florisbela		Access + VBA		1340	12	41508	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Leonardo		JavaScript Básico		1870	11	42371	Pessoa Jurídica	Lívia	Noite	São Paulo
Carlitos		JavaScript Avançado		1910	11	40162	Pessoa Jurídica	Rossana	Integral	São Paulo
Flaviana		SQL Básico		2240	8	41694	Pessoa Física	Euletério	Madrugada	São Paulo
Santoro		SQL Avançado		2479	10	41299	Pessoa Jurídica	Fábio	Sábado	São Paulo
Leudissandro		Css Básico		3200	9	42190	Pessoa Física	Joaquim	Domingo	São Paulo
Paola		Css Avançado		3921	8	40146	Pessoa Física	Lívia	Personalizado	São Paulo
Andrázio		MySQL		780	10	41587	Pessoa Física	Rossana	Manhã	São Paulo
Luciana		HTML 69		980	12	41660	Pessoa Jurídica	Euletério	Tarde	São Paulo
Florisbela		Excel Básico		1020	12	41062	Pessoa Jurídica	Fábio	Noite	São Paulo
Leonardo		Excel Intermediário		1340	9	42477	Pessoa Jurídica	Joaquim	Integral	São Paulo
Carlitos		Excel Avançado		1870	8	40265	Pessoa Física	Lívia	Madrugada	São Paulo
Flaviana		Excel BI		1910	10	42079	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Santoro		Excel VBA Básico		2240	11	40666	Pessoa Física	Euletério	Terça-feira	São Paulo
Leudissandro		Excel VBA avançado		2479	8	41171	Pessoa Física	Fábio	Personalizado	São Paulo
Paola		Access + VBA		3200	10	41211	Pessoa Física	Joaquim	Manhã	São Paulo
Andrázio		JavaScript Básico		3921	8	41886	Pessoa Jurídica	Lívia	Tarde	Sergipe
Luciana		JavaScript Avançado		780	11	41972	Pessoa Jurídica	Rossana	Noite	Tocantins
Florisbela		SQL Básico		980	9	41008	Pessoa Jurídica	Euletério	Integral	Alagoas
Leonardo		SQL Avançado		1020	8	42046	Pessoa Física	Fábio	Madrugada	Amazonas
Carlitos		Css Básico		1340	10	40281	Pessoa Jurídica	Joaquim	Quarta-feira	Bahia
Flaviana		Css Avançado		1870	11	41466	Pessoa Física	Lívia	Quinta-feira	Bahia
Santoro		MySQL		1910	11	41909	Pessoa Física	Rossana	Personalizado	Brasília
Leudissandro		HTML 70		2240	10	40539	Pessoa Física	Euletério	Manhã	Ceará
Paola		Excel Básico		2479	8	40134	Pessoa Jurídica	Fábio	Tarde	Ceará
Andrázio		Excel Intermediário		3200	9	42335	Pessoa Jurídica	Joaquim	Noite	Ceará
Luciana		Excel Avançado		3921	9	42210	Pessoa Jurídica	Lívia	Integral	Ceará
Florisbela		Excel BI		780	10	40769	Pessoa Física	Fábio	Madrugada	Espírito Santo
Leonardo		Excel VBA Básico		980	11	41772	Pessoa Jurídica	Joaquim	Sexta-feira	Goiás
Carlitos		Excel VBA avançado		1020	11	41697	Pessoa Física	Lívia	Sábado	Mato Grosso do Sul
Flaviana		Access + VBA		1340	10	40212	Pessoa Física	Rossana	Personalizado	Minas Gerais
Santoro		JavaScript Básico		1870	10	42122	Pessoa Física	Euletério	Manhã	Minas Gerais
Leudissandro		JavaScript Avançado		1910	10	42227	Pessoa Jurídica	Fábio	Tarde	Minas Gerais
Paola		SQL Básico		2240	10	41705	Pessoa Jurídica	Joaquim	Noite	Paraíba
Andrázio		SQL Avançado		2479	11	42142	Pessoa Jurídica	Lívia	Integral	Paraná
Luciana		Css Básico		3200	9	41366	Pessoa Física	Rossana	Madrugada	Paraná
Florisbela		Css Avançado		3921	12	40964	Pessoa Jurídica	Euletério	Domingo	Paraná
Leonardo		MySQL		780	12	40858	Pessoa Física	Fábio	Segunda-feira	Paraná
Carlitos		HTML 71		980	10	42173	Pessoa Física	Joaquim	Personalizado	Pernambuco
Flaviana		Excel Básico		1020	9	41193	Pessoa Física	Lívia	Manhã	Pernambuco
Santoro		Excel Intermediário		1340	10	40512	Pessoa Jurídica	Rossana	Tarde	Pernambuco
Leudissandro		Excel Avançado		1870	8	41841	Pessoa Jurídica	Euletério	Noite	Rio de Janeiro
Paola		Excel BI		1910	9	42485	Pessoa Jurídica	Fábio	Integral	Rio de Janeiro
Andrázio		Excel VBA Básico		2240	12	40270	Pessoa Física	Joaquim	Madrugada	Rio de Janeiro
Luciana		Excel VBA avançado		2479	9	41662	Pessoa Jurídica	Lívia	Terça-feira	Rio de Janeiro
Florisbela		Access + VBA		3200	12	40655	Pessoa Física	Rossana	Quarta-feira	Rio de Janeiro
Leonardo		JavaScript Básico		3921	8	42312	Pessoa Física	Euletério	Personalizado	Rio Grande do Norte
Carlitos		JavaScript Avançado		780	10	41772	Pessoa Física	Fábio	Manhã	Rio Grande do Sul
Flaviana		SQL Básico		980	10	40840	Pessoa Jurídica	Joaquim	Tarde	Rio Grande do Sul
Santoro		SQL Avançado		1020	12	40931	Pessoa Jurídica	Lívia	Noite	Rondônia
Leudissandro		Css Básico		1340	9	42360	Pessoa Jurídica	Rossana	Integral	Roraima
Paola		Css Avançado		1870	9	40178	Pessoa Física	Euletério	Madrugada	Santa Catarina
Andrázio		MySQL		1910	12	41872	Pessoa Jurídica	Fábio	Quinta-feira	Santa Catarina
Luciana		HTML 72		2240	9	41051	Pessoa Física	Joaquim	Sexta-feira	Santa Catarina
Florisbela		Excel Básico		2479	10	41823	Pessoa Física	Lívia	Personalizado	São Paulo
Leonardo		Excel Intermediário		3200	10	40404	Pessoa Física	Fábio	Manhã	São Paulo
Carlitos		Excel Avançado		3921	10	41476	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Flaviana		Excel BI		780	10	40746	Pessoa Jurídica	Lívia	Noite	São Paulo
Santoro		Excel VBA Básico		980	11	41825	Pessoa Jurídica	Rossana	Integral	São Paulo
Leudissandro		Excel VBA avançado		1020	11	40914	Pessoa Física	Euletério	Madrugada	São Paulo
Paola		Access + VBA		1340	12	41764	Pessoa Jurídica	Fábio	Sábado	São Paulo
Andrázio		JavaScript Básico		1870	10	40222	Pessoa Física	Joaquim	Domingo	São Paulo
Luciana		JavaScript Avançado		1910	11	41297	Pessoa Física	Lívia	Personalizado	São Paulo
Florisbela		SQL Básico		2240	10	41489	Pessoa Física	Rossana	Manhã	São Paulo
Leonardo		SQL Avançado		2479	10	41654	Pessoa Jurídica	Euletério	Tarde	São Paulo
Carlitos		Css Básico		3200	10	40200	Pessoa Jurídica	Fábio	Noite	São Paulo
Flaviana		Css Avançado		3921	9	42188	Pessoa Jurídica	Joaquim	Integral	São Paulo
Santoro		MySQL		780	11	41532	Pessoa Física	Lívia	Madrugada	São Paulo
Leudissandro		HTML 73		980	9	40541	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Paola		Excel Básico		1020	12	40876	Pessoa Física	Euletério	Terça-feira	São Paulo
Andrázio		Excel Intermediário		1340	9	41176	Pessoa Física	Fábio	Personalizado	São Paulo
Luciana		Excel Avançado		1870	11	42324	Pessoa Física	Joaquim	Manhã	São Paulo
Florisbela		Excel BI		1910	12	40167	Pessoa Jurídica	Lívia	Tarde	São Paulo
Leonardo		Excel VBA Básico		2240	8	41967	Pessoa Jurídica	Rossana	Noite	Sergipe
Carlitos		Excel VBA avançado		2479	9	40949	Pessoa Jurídica	Euletério	Integral	São Paulo
Flaviana		Access + VBA		3200	10	40277	Pessoa Física	Fábio	Madrugada	Bahia
Santoro		JavaScript Básico		3921	12	41576	Pessoa Jurídica	Joaquim	Quarta-feira	Minas Gerais
Leudissandro		JavaScript Avançado		780	9	41194	Pessoa Física	Lívia	Quinta-feira	Minas Gerais
Paola		SQL Básico		980	9	41058	Pessoa Física	Rossana	Personalizado	Paraná
Andrázio		SQL Avançado		1020	10	41656	Pessoa Física	Euletério	Manhã	Paraná
Luciana		Css Básico		1340	9	40909	Pessoa Jurídica	Fábio	Tarde	Paraná
Florisbela		Css Avançado		1870	9	40737	Pessoa Jurídica	Joaquim	Noite	Paraná
Leonardo		MySQL		1910	10	41883	Pessoa Jurídica	Lívia	Integral	Paraná
Carlitos		HTML 74		2240	11	40657	Pessoa Física	Fábio	Madrugada	Paraná
Flaviana		Excel Básico		2479	12	40757	Pessoa Jurídica	Joaquim	Sexta-feira	Paraná
Santoro		Excel Intermediário		3200	9	41432	Pessoa Física	Lívia	Sábado	Rio de Janeiro
Leudissandro		Excel Avançado		3921	11	40865	Pessoa Física	Rossana	Personalizado	Rio de Janeiro
Paola		Excel BI		780	8	40544	Pessoa Física	Euletério	Manhã	Rio de Janeiro
Andrázio		Excel VBA Básico		980	12	40844	Pessoa Jurídica	Fábio	Tarde	Rio de Janeiro
Luciana		Excel VBA avançado		1020	11	42262	Pessoa Jurídica	Joaquim	Noite	Rio de Janeiro
Florisbela		Access + VBA		1340	9	41283	Pessoa Jurídica	Lívia	Integral	Rio de Janeiro
Leonardo		JavaScript Básico		1870	10	42481	Pessoa Física	Rossana	Madrugada	Rio de Janeiro
Carlitos		JavaScript Avançado		1910	8	40167	Pessoa Jurídica	Euletério	Domingo	Rio de Janeiro
Flaviana		SQL Básico		2240	9	40993	Pessoa Física	Fábio	Segunda-feira	Rio de Janeiro
Santoro		SQL Avançado		2479	9	40663	Pessoa Física	Joaquim	Personalizado	Rio de Janeiro
Leudissandro		Css Básico		3200	8	40515	Pessoa Física	Lívia	Manhã	Rio de Janeiro
Paola		Css Avançado		3921	12	41319	Pessoa Jurídica	Rossana	Tarde	Rio de Janeiro
Andrázio		MySQL		780	12	41085	Pessoa Jurídica	Euletério	Noite	Rio de Janeiro
Luciana		HTML 75		980	11	41748	Pessoa Jurídica	Fábio	Integral	Rio de Janeiro
Florisbela		Excel Básico		1020	10	42027	Pessoa Física	Joaquim	Madrugada	Rio de Janeiro
Leonardo		Excel Intermediário		1340	12	41424	Pessoa Jurídica	Lívia	Terça-feira	Rio de Janeiro
Carlitos		Excel Avançado		1870	11	41723	Pessoa Física	Rossana	Quarta-feira	Rio de Janeiro
Flaviana		Excel BI		1910	8	40916	Pessoa Física	Euletério	Personalizado	Rio de Janeiro
Santoro		Excel VBA Básico		2240	12	41754	Pessoa Física	Fábio	Manhã	Rio Grande do Sul
Leudissandro		Excel VBA avançado		2479	8	41493	Pessoa Jurídica	Joaquim	Tarde	Santa Catarina
Paola		Access + VBA		3200	8	41520	Pessoa Jurídica	Lívia	Noite	Santa Catarina
Andrázio		JavaScript Básico		3921	12	40929	Pessoa Jurídica	Rossana	Integral	Santa Catarina
Luciana		JavaScript Avançado		780	9	40962	Pessoa Física	Euletério	Madrugada	São Paulo
Florisbela		SQL Básico		980	11	42042	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Leonardo		SQL Avançado		1020	10	40597	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Carlitos		Css Básico		1340	12	42344	Pessoa Física	Lívia	Personalizado	São Paulo
Flaviana		Css Avançado		1870	8	41966	Pessoa Física	Fábio	Manhã	São Paulo
Santoro		MySQL		1910	11	40042	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Leudissandro		HTML 76		2240	11	40165	Pessoa Jurídica	Lívia	Noite	São Paulo
Paola		Excel Básico		2479	8	41276	Pessoa Jurídica	Rossana	Integral	São Paulo
Andrázio		Excel Intermediário		3200	12	40404	Pessoa Física	Euletério	Madrugada	São Paulo
Luciana		Excel Avançado		3921	9	42459	Pessoa Jurídica	Fábio	Sábado	São Paulo
Florisbela		Excel BI		780	9	42167	Pessoa Física	Joaquim	Domingo	São Paulo
Leonardo		Excel VBA Básico		980	8	42065	Pessoa Física	Lívia	Personalizado	São Paulo
Carlitos		Excel VBA avançado		1020	10	40776	Pessoa Física	Rossana	Manhã	São Paulo
Flaviana		Access + VBA		1340	10	41516	Pessoa Jurídica	Euletério	Tarde	São Paulo
Santoro		JavaScript Básico		1870	8	40559	Pessoa Jurídica	Fábio	Noite	São Paulo
Leudissandro		JavaScript Avançado		1910	12	42464	Pessoa Jurídica	Joaquim	Integral	São Paulo
Paola		SQL Básico		2240	12	40667	Pessoa Física	Lívia	Madrugada	São Paulo
Andrázio		SQL Avançado		2479	8	41405	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Luciana		Css Básico		3200	9	42225	Pessoa Física	Euletério	Terça-feira	São Paulo
Florisbela		Css Avançado		3921	12	41372	Pessoa Física	Fábio	Personalizado	São Paulo
